Abbrev,Latitude,Longitude,State,TrumpAvg,BidenAvg,Spread
AL,32.601011199999995,-86.6807365,Alabama,58,38,Trump + 20
AK,61.3025006,-158.7750198,Alaska,NULL,NULL,NULL
AZ,34.1682185,-111.930907,Arizona,44,47,Biden + 3
AR,34.7519275,-92.13137840000002,Arkansas,47,45,Trump + 2
CA,37.2718745,-119.2704153,California,58,32,Trump + 26
CO,38.9979339,-105.55056699999999,Colorado,NULL,NULL,NULL
CT,41.518783500000005,-72.75750699999999,Connecticut,34,52,Biden + 17
DE,39.145251,-75.41892059999999,Delaware,40,56,Biden + 16
DC,38.899348700000004,-77.0145666,District of Columbia,NULL,NULL,NULL
FL,27.9757279,-83.8330166,Florida,43,49,Biden + 6
GA,32.6781248,-83.22297569999999,Georgia,51,43,Trump + 8
HI,20.46,-157.505,Hawaii,NULL,NULL,NULL
ID,45.4945756,-114.1424303,Idaho,NULL,NULL,NULL
IL,39.739318,-89.504139,Illinois,NULL,NULL,NULL
IN,39.7662195,-86.441277,Indiana,52,39,Trump + 13
IA,41.9383166,-93.389798,Iowa,48,47,Trump + 1
KS,38.4987789,-98.32007790000002,Kansas,NULL,NULL,NULL
KY,37.8222935,-85.76823990000001,Kentucky,55,39,Trump + 16
LA,30.9733766,-91.42990970000001,Louisiana,NULL,NULL,NULL
ME,45.2185133,-69.0148656,Maine,42,52,Biden + 10
MD,38.806352399999994,-77.2684162,Maryland,35,59,Biden + 24
MA,42.062939799999995,-71.718067,Massachusetts,31,65,Biden + 33
MI,44.9435598,-86.41580490000001,Michigan,41,52,Biden + 10
MN,46.4418595,-93.3655146,Minnesota,43,54,Biden + 10
MS,32.5851062,-89.8772196,Mississippi,56,41,Trump + 15
MO,38.3046615,-92.437099,Missouri,50,44,Trump + 6
MT,46.6797995,-110.04478300000001,Montana,NULL,NULL,NULL
NE,41.5008195,-99.680902,Nebraska,NULL,NULL,NULL
NV,38.502032,-117.0230604,Nevada,44,50,Biden + 6
NH,44.00123060000001,-71.57992309999999,New Hampshire,44,50,Biden + 6
NJ,40.1430058,-74.7311156,New Jersey,35,55,Biden + 19
NM,34.1662325,-106.02606850000001,New Mexico,42,54,Biden + 11
NY,40.7056258,-73.97968,New York,32,58,Biden + 25
NC,35.2145629,-79.8912675,North Carolina,45,49,Biden + 3
ND,47.467881899999995,-100.3022655,North Dakota,NULL,NULL,NULL
OH,40.1903624,-82.6692525,Ohio,45,46,Biden + 1
OK,35.309765399999996,-98.71655849999999,Oklahoma,NULL,NULL,NULL
OR,44.1419049,-120.5380993,Oregon,NULL,NULL,NULL
PA,40.99459279999999,-77.6046984,Pennsylvania,45,49,Biden + 4
RI,41.5827282,-71.5064508,Rhode Island,NULL,NULL,NULL
SC,33.62505,-80.9470381,South Carolina,52,44,Trump + 8
SD,44.2126995,-100.24716409999999,South Dakota,NULL,NULL,NULL
TN,35.830521000000005,-85.97859890000001,Tennessee,53,39,Trump + 14
TX,31.1693363,-100.0768425,Texas,46,46,Tie
UT,39.4997605,-111.547028,Utah,48,35,Trump + 13
VT,43.8717545,-72.4477828,Vermont,NULL,NULL,NULL
VA,38.0033855,-79.4587861,Virginia,40,49,Biden + 9
WA,38.899348700000004,-77.0145665,Washington,32,57,Biden + 24
WV,38.920170500000005,-80.1816905,West Virginia,NULL,NULL,NULL
WI,44.7862968,-89.82670490000001,Wisconsin,43,47,Biden + 3
WY,43.000325,-107.5545669,Wyoming,NULL,NULL,NULL
